,precision,recall,f1-score,support
A,0.0,0.0,0.0,0.0
B,0.0,0.0,0.0,0.0
C,0.0,0.0,0.0,0.0
D,0.0,0.0,0.0,0.0
E,0.0,0.0,0.0,0.0
F,0.0,0.0,0.0,0.0
G,0.0,0.0,0.0,0.0
H,0.0,0.0,0.0,0.0
I,0.0,0.0,0.0,0.0
J,0.0,0.0,0.0,0.0
K,0.0,0.0,0.0,0.0
L,0.0,0.0,0.0,0.0
M,0.0,0.0,0.0,0.0
N,0.0,0.0,0.0,0.0
O,0.0,0.0,0.0,0.0
P,0.0,0.0,0.0,0.0
Q,0.0,0.0,0.0,0.0
R,0.0,0.0,0.0,0.0
S,0.0,0.0,0.0,0.0
T,0.0,0.0,0.0,0.0
U,1.0,0.76,0.8636363636363636,100.0
V,1.0,0.998,0.998998998998999,500.0
W,1.0,0.994,0.9969909729187563,500.0
X,1.0,0.996,0.9979959919839679,500.0
Y,1.0,0.992,0.9959839357429718,500.0
Z,1.0,1.0,1.0,500.0
accuracy,0.9869230769230769,0.9869230769230769,0.9869230769230769,0.9869230769230769
macro avg,0.23076923076923078,0.22076923076923077,0.22513870243388687,2600.0
weighted avg,1.0,0.9869230769230769,0.9928263793023016,2600.0
